Rack-No;MOC-No                  ;Project-Name;Proposal ;Approval;Complete;Operate;MOC-Closed;Leader;Status;Type;ISO-Register-No;Hazop;Remark;
122; 001/MOC/OCT/IX/2013 ; Double pipe E-165 ; F ; F ; F ; F ; F ;STY;F;O;05/ISO/MOC/V/14;OK;;
123; 002/MOC/OCT/IX/2013 ; Recovery NBA from FOL T-640 ; F ; F ; F ; F ; F ;STY;F;O;03/ISO/MOC/XI/13;OK;;
124; 003/MOC/OCT/XII/2013 ; Utilization of Waste Water (outlet TK-819) and Water Sewer ; F ; F ; C ; C ; C ;MAR; C ;O;Cancel;;;
125; 004/MOC/OCT/XII/2013 ; Bypass line for 2nd stage suction of C-150 ; F ; F ; F ; F ; F ;CHD;F;O;04/ISO/MOC/XII/13;IP;;
126; 005/MOC/OCT/XII/2013 ; Additional compensation for level indicator at intermediate tank ; F ; F ; F ; F ; F ;DNI; F ;O;09/ISO/MOC/XI/14;IP;;
127; 006/MOC/OCT/XII/2013 ; Redundancy lube oil pump C-412 ; F ; F ; F ; F ; F ;CHD; F ;O;07/ISO/MOC/X/14;IP;;
128; 007/MOC/UTL/I/2014 ; Additional new package boiler ; F ; F ; F ; F ; F ;GPA;F;O;10/ISO/MOC/XII/14;IP;;
129; 008/MOC/SGA/II/2014 ; Reduce HSAS content in MDEA solution system ; F ; F ; F ; F ; F ;WSK; F ;O;08/ISO/MOC/X/14;IP;;
130; 009/MOC/UTL/IV/2014 ; Additional flowmeter for PPL consumption ; F ; F ; F ; F ; F ;SLK;F;O;06/ISO/MOC/VIII/14;IP;;
131; 010/MOC/UTL/VII/2014 ; Additional artesian well pump ; F ; F ; F ; F ; F ;GPA;F;O;15/ISO/MOC/V/16;IP;;
132; 011/MOC/SGA/IX/2014 ; CO2 recovery and liquefaction plant ; F ; F ; F ; F ; F ;AJW; F ;O;50/ISO/MOC/VIII/21;IP;;
133; 012/MOC/UTL/X/2014 ; Modification PGL line and flare stack area ; F ; F ; F ; F ; F ;EST; F ;O;10/ISO/MOC/III/15;IP;;
134; 013/MOC/OCT/XI/2014 ; Additional Isolate Valve R-410 ; F ; F ; F ; F ; F ;EST; F ;O;11/ISO/MOC/III/15;IP;;
135; 014/MOC/UTL/XI/2014 ; Install Tie In for Soft water system ; F ; F ; F ; F ; F ;MMI; F ;O;12/ISO/MOC/III/15;IP;;
136; 015/MOC/UTL/XI/2014 ; Modification Suction line P-855 ; F ; F ; F ; F ; F ;EST; F ;O;13/ISO/MOC/III/15;IP;;
137; 016/MOC/UTL/XII/2014 ; Install LPS line from header to CO2 plant ; F ; F ; F ; F ; F ;EST; F ;O;14/ISO/MOC/III/15;IP;;
138; 017/MOC/UTL/I/2015 ; Reverse Osmosis Unit ; F ; F ; F ; F ; F ;AJW;F;O;17/ISO/MOC/VI/16;OK;;
139; 018/MOC/EI/III/2015 ; Modification ignition system H-922 ; F ; F ; C ; C ; C ;DNI; C ;C;Cancel;-;;
140; 019/MOC/UTL/IV/2015 ; Additional new chilled water unit ; F ; F ; F ; F ; F ;EST;F;O;16/ISO/MOC/V/16;IP;;
141; 020/MOC/UTL/V/2015 ; Additional new air dryer unit ; F ; F ; F ; F ; F ;APT;F;O;18/ISO/MOC/VI/16;IP;;
142; 021/MOC/UTL/X/2015 ; Additional new sand filter in suction P-931C ; F ; F ; C ; C ; C ;EST; C ;O;Cancel;-;;
143; 022/MOC/UTL/VI/2016 ; Utilizing reject RO Unit ; F ; F ; F ; F ; F ;GPA;F;O;19/ISO/MOC/IX/2016;IP;;
144; 023/MOC/UTL/VII/2016 ; Switch Load Power to EDG ; F ; F ; F ; F ; F ;SLK;F;O;20/ISO/MOC/XI/2016;IP;;
145; 024/MOC/UTL/VIII/2016 ; Additional ampere motor indication product pump at DCS ; F ; F ; F ; F ; F ;YMA; F ;O;22/ISO/MOC/VII/2017;IP;;
146; 025/MOC/UTL/IX/2016 ; Modification of RO Unit ; F ; F ; F ; F ; F ;EST; F ;O;23/ISO/MOC/VII/2017;IP;;
147;026/MOC/SGU/IX/2016;Additional line and pump to make up MEA CO2 gas; F ; IP ; IP ; IP ; IP ; YUL ; F ;O;30/ISO/MOC/V/2018;;;
148; 027/MOC/UTL/IX/2016 ; Modification of circulation line PPL liquid from P-711B ; F ; F ; F ; F ; F ;EST; F ;O;51/ISO/MOC/VIII/2021;;;
149; 028/MOC/UTL/IX/2016 ; Installing Ex. Old chiller pump as P-853B ; F ; F ; F ; F ; F ;EST; F ;O;24/ISO/MOC/VII/2017;IP;;
150;  29/MOC/UTL/IX/2016 ; Improvement system of TK-855 ; C ; C ; C ; C ; C ; C ; C ; C ;Cancel;;;
151; 030/MOC/UTL/IX/2016 ; Modification line chemical injection Boiler P-925A/B ; F ; F ; F ; F ; F ;GPA; F ;O;21/ISO/MOC/XI/2016;;;
152; 031/MOC/UTL/XI/2016 ; Switching P-751 B as main fire pump instead P-751 A ; F ; C ; C ; C ; C ;AJW; C ;O;Cancel;;;
153; 032/MOC/SGA/IX/2016 ; Install Oil Collector at CO2 Liquefaction System ; F ; F ; F ; F ; F ;YUL; F ;H;31/ISO/MOC/V/2018;;;
154; 033/MOC/UTL/XII/2016 ; Additional line water from fish pond to TK-931 ; F ; F ; F ; F ; F ;EST; F ;O;25/ISO/MOC/XI/2017;;;
155; 034/MOC/UTL/XII/2016 ; New E-719 (PPL cooler) ; F ; F ; F ; F ; IP ;YMA; F ;O;39/ISO/MOC/IV/2021;;;
